associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
40510,7,764.4739999999999,11,2,2,1,221,Destaque
39145,7,265.53000000000003,20,2,2,2,222,Destaque
30992,7,99.49,22,2,2,3,223,Proximo Fiel Limitado
48273,7,547.77,17,2,2,1,221,Destaque
61853,7,170.03,21,2,2,2,222,Destaque
49876,7,658.5600000000001,19,2,2,1,221,Destaque
47161,7,195.8,10,2,2,2,222,Destaque
32252,7,169.66,51,3,2,2,322,Distante Fiel Valioso
64153,7,621.5400000000001,3,1,2,1,121,Destaque
65907,7,254.5,0,1,2,2,122,Destaque
11800,7,392.341,37,3,2,2,322,Distante Fiel Valioso
89389,7,408.41999999999996,1,1,2,2,122,Destaque
24975,7,853.4999999999999,7,2,2,1,221,Destaque
2988,7,633.7,13,2,2,1,221,Destaque
24913,7,488.2320000000001,19,2,2,2,222,Destaque
20309,7,1290.7099999999998,10,2,2,1,221,Destaque
31226,7,131.07,58,3,2,3,323,Distante Fiel Limitado
23239,7,323.71000000000004,15,2,2,2,222,Destaque
85003,7,653.27,6,1,2,1,121,Destaque
10953,7,390.80699999999996,10,2,2,2,222,Destaque
70049,7,224.07999999999998,3,1,2,2,122,Destaque
61159,7,179.27999999999997,6,1,2,2,122,Destaque
76963,7,297.80999999999995,9,2,2,2,222,Destaque
24127,7,850.202,34,3,2,1,321,Distante Fiel Valioso
8475,7,707.1499999999999,11,2,2,1,221,Destaque
65914,7,530.554,28,3,2,1,321,Distante Fiel Valioso
62170,7,126.96000000000001,15,2,2,3,223,Proximo Fiel Limitado
33556,7,567.1089999999999,1,1,2,1,121,Destaque
15256,7,277.79999999999995,17,2,2,2,222,Destaque
16219,7,1421.356,90,4,2,1,421,Distante Fiel Valioso
31265,7,218.02,5,1,2,2,122,Destaque
33686,7,1771.05,19,2,2,1,221,Destaque
58650,7,613.905,2,1,2,1,121,Destaque
10491,7,174.80999999999997,34,3,2,2,322,Distante Fiel Valioso
54996,7,446.34299999999996,36,3,2,2,322,Distante Fiel Valioso
61488,7,253.64000000000004,0,1,2,2,122,Destaque
33047,7,1961.0529999999999,13,2,2,1,221,Destaque
26967,7,393.63000000000005,8,2,2,2,222,Destaque
15745,7,198.77,19,2,2,2,222,Destaque
28820,7,1925.5099999999998,22,2,2,1,221,Destaque
26871,7,253.14999999999998,10,2,2,2,222,Destaque
34582,7,110.46,11,2,2,3,223,Proximo Fiel Limitado
33257,7,854.95,14,2,2,1,221,Destaque
41482,7,252.20999999999998,15,2,2,2,222,Destaque
36755,7,357.56999999999994,6,1,2,2,122,Destaque
15321,7,183.13,36,3,2,2,322,Distante Fiel Valioso
19499,7,3141.396,54,3,2,1,321,Distante Fiel Valioso
2203,7,1484.2800000000002,104,4,2,1,421,Distante Fiel Valioso
50733,7,268.49,6,1,2,2,122,Destaque
10399,7,453.50600000000003,29,3,2,2,322,Distante Fiel Valioso
65722,7,1419.9260000000002,6,1,2,1,121,Destaque
12417,7,244.24,10,2,2,2,222,Destaque
64322,7,151.2,6,1,2,2,122,Destaque
12065,7,877.92,1,1,2,1,121,Destaque
24818,7,233.07000000000002,11,2,2,2,222,Destaque
16530,7,436.31999999999994,3,1,2,2,122,Destaque
59294,7,1857.8799999999999,11,2,2,1,221,Destaque
8650,7,1448.2799999999997,2,1,2,1,121,Destaque
75549,7,594.45,4,1,2,1,121,Destaque
62507,7,341.59000000000003,2,1,2,2,122,Destaque
45576,7,366.454,25,3,2,2,322,Distante Fiel Valioso
76752,7,126.33500000000001,7,2,2,3,223,Proximo Fiel Limitado
14685,7,242.69,1,1,2,2,122,Destaque
52714,7,889.19,7,2,2,1,221,Destaque
49894,7,338.71000000000004,6,1,2,2,122,Destaque
59547,7,1120.72,61,4,2,1,421,Distante Fiel Valioso
66304,7,133.17,12,2,2,3,223,Proximo Fiel Limitado
74464,7,484.428,1,1,2,2,122,Destaque
6789,7,337.64,4,1,2,2,122,Destaque
14466,7,595.24,11,2,2,1,221,Destaque
83217,7,167.49,5,1,2,2,122,Destaque
13144,7,196.494,45,3,2,2,322,Distante Fiel Valioso
55012,7,798.2060000000001,6,1,2,1,121,Destaque
26549,7,139.59,47,3,2,3,323,Distante Fiel Limitado
16329,7,366.8,61,4,2,2,422,Distante Fiel Valioso
55006,7,242.64999999999998,0,1,2,2,122,Destaque
61155,7,320.292,1,1,2,2,122,Destaque
